Date,Store_ID,Product_ID,Units_Sold,Price,Discount,Revenue
2025-07-01,S3,P179,6,37.77,0.16,190.36079999999998
2025-07-01,S4,P42,4,32.38,0.16,108.7968
2025-07-01,S4,P155,4,39.91,0.19,129.3084
2025-07-01,S4,P155,7,8.3,0.05,55.19500000000001
2025-07-01,S4,P66,5,35.44,0.09,161.25199999999998
2025-07-01,S4,P38,4,19.91,0.15,67.694
2025-07-01,S4,P15,8,8.55,0.06,64.296
2025-07-01,S4,P76,2,3.45,0.15,5.865
2025-07-01,S4,P164,4,29.5,0.15,100.3
2025-07-01,S4,P148,8,24.59,0.1,177.048
2025-07-01,S4,P47,8,21.72,0.15,147.696
2025-07-01,S4,P111,8,35.27,0.23,217.2632
2025-07-01,S4,P100,4,32.23,0.01,127.63079999999998
2025-07-01,S5,P92,9,18.69,0.18,137.93220000000002
2025-07-01,S5,P40,9,37.25,0.11,298.3725
2025-07-01,S5,P46,5,39.44,0.21,155.788
2025-07-01,S5,P182,7,37.07,0.22,202.40220000000002
2025-07-01,S5,P55,3,24.88,0.1,67.176
2025-07-01,S5,P53,9,10.61,0.2,76.392
2025-07-01,S5,P154,9,7.23,0.1,58.56300000000001
2025-07-01,S5,P90,6,15.81,0.09,86.32260000000001
2025-07-01,S5,P162,1,24.72,0.01,24.4728
2025-07-01,S5,P179,6,9.53,0.12,50.3184
2025-07-01,S5,P198,5,36.85,0.09,167.66750000000002
2025-07-01,S5,P63,6,11.14,0.05,63.498
2025-07-01,S5,P49,7,39.1,0.11,243.593
2025-07-01,S5,P148,6,34.84,0.13,181.86480000000003
2025-07-01,S6,P49,7,25.03,0.02,171.7058
2025-07-01,S6,P179,8,36.23,0.05,275.34799999999996
2025-07-01,S6,P29,1,4.35,0.12,3.828
2025-07-01,S6,P168,3,5.43,0.19,13.1949
2025-07-01,S6,P175,2,22.4,0.11,39.872
2025-07-01,S6,P114,6,31.32,0.03,182.28240000000002
2025-07-01,S6,P8,7,38.01,0.09,242.1237
2025-07-01,S6,P110,2,18.12,0.01,35.8776
2025-07-01,S6,P32,2,35.08,0.1,63.144
2025-07-01,S6,P57,7,12.39,0.05,82.3935
2025-07-01,S6,P72,6,15.55,0.14,80.23800000000001
2025-07-01,S6,P51,1,23.6,0.18,19.352000000000004
2025-07-01,S7,P96,8,29.72,0.21,187.8304
2025-07-01,S7,P144,4,37.94,0.04,145.68959999999998
2025-07-01,S7,P142,7,36.16,0.0,253.11999999999998
2025-07-01,S7,P7,1,10.69,0.01,10.5831
2025-07-01,S7,P125,3,24.57,0.11,65.60190000000001
2025-07-01,S7,P2,1,33.25,0.09,30.2575
2025-07-01,S7,P130,3,24.84,0.07,69.30359999999999
2025-07-01,S8,P37,6,31.63,0.09,172.6998
2025-07-01,S8,P53,3,38.09,0.19,92.55870000000002
2025-07-01,S8,P24,1,35.13,0.12,30.914400000000004
2025-07-01,S8,P128,1,20.94,0.13,18.2178
2025-07-01,S8,P9,8,28.86,0.1,207.792
2025-07-01,S8,P22,4,7.89,0.23,24.301199999999998
2025-07-01,S8,P98,7,28.28,0.21,156.38840000000002
2025-07-01,S8,P128,5,33.16,0.12,145.904
2025-07-01,S8,P34,1,17.99,0.12,15.831199999999999
2025-07-01,S9,P117,6,8.06,0.23,37.2372
2025-07-01,S9,P134,8,12.28,0.16,82.52159999999999
2025-07-01,S9,P53,7,24.21,0.21,133.8813
2025-07-01,S9,P190,2,9.15,0.18,15.006000000000002
2025-07-01,S9,P51,5,25.32,0.06,119.00399999999999
2025-07-01,S9,P149,8,19.18,0.23,118.1488
2025-07-01,S9,P187,7,25.58,0.24,136.0856
2025-07-01,S9,P55,8,37.66,0.18,247.0496
2025-07-01,S9,P33,4,22.97,0.04,88.20479999999999
2025-07-01,S9,P81,2,26.06,0.12,45.8656
2025-07-01,S9,P73,9,16.01,0.1,129.681
2025-07-01,S10,P42,9,12.12,0.2,87.26400000000001
2025-07-01,S10,P108,3,13.07,0.15,33.3285
2025-07-01,S10,P19,5,6.39,0.23,24.6015
2025-07-01,S10,P189,1,38.16,0.11,33.962399999999995
2025-07-01,S10,P47,8,31.06,0.16,208.7232
2025-07-01,S10,P81,7,29.79,0.16,175.1652
2025-07-01,S10,P200,9,36.42,0.16,275.33520000000004
2025-07-01,S10,P59,9,37.93,0.01,337.9563
2025-07-01,S10,P10,7,39.98,0.14,240.67959999999997
2025-07-01,S10,P86,7,4.26,0.17,24.7506
2025-07-01,S10,P137,3,37.2,0.24,84.816
2025-07-01,S10,P82,4,34.25,0.08,126.04
2025-07-02,S1,P103,1,27.06,0.09,24.6246
2025-07-02,S1,P108,2,35.74,0.13,62.1876
2025-07-02,S1,P183,7,5.42,0.08,34.9048
2025-07-02,S1,P4,6,14.79,0.16,74.54159999999999
2025-07-02,S1,P16,2,3.9,0.22,6.084
2025-07-02,S1,P158,7,9.86,0.1,62.117999999999995
2025-07-02,S1,P96,3,5.59,0.0,16.77
2025-07-02,S1,P29,1,17.87,0.12,15.725600000000002
2025-07-02,S1,P185,8,13.05,0.1,93.96000000000001
2025-07-02,S1,P158,9,15.45,0.13,120.97349999999999
2025-07-02,S1,P65,1,7.09,0.09,6.4519
2025-07-02,S1,P158,2,13.96,0.06,26.2448
2025-07-02,S1,P153,1,36.68,0.01,36.3132
2025-07-02,S1,P143,1,17.49,0.03,16.9653
2025-07-02,S2,P37,5,6.31,0.1,28.395
2025-07-02,S2,P184,8,20.29,0.15,137.97199999999998
2025-07-02,S2,P153,7,39.67,0.06,261.0286
2025-07-02,S2,P148,6,25.49,0.13,133.0578
2025-07-02,S2,P74,2,17.21,0.01,34.0758
2025-07-02,S2,P3,8,15.95,0.01,126.324
2025-07-02,S2,P47,7,35.7,0.23,192.42300000000003
2025-07-02,S2,P122,1,9.43,0.1,8.487
2025-07-02,S2,P178,2,28.75,0.04,55.199999999999996
2025-07-02,S2,P160,3,11.3,0.06,31.866000000000003
2025-07-02,S2,P89,9,36.11,0.22,253.49220000000003
2025-07-02,S2,P11,9,17.47,0.07,146.2239
2025-07-02,S2,P29,9,4.64,0.21,32.9904
2025-07-02,S2,P170,9,15.17,0.23,105.1281
2025-07-02,S3,P124,6,12.61,0.18,62.0412
2025-07-02,S3,P90,2,6.0,0.06,11.28
2025-07-02,S3,P28,5,39.68,0.02,194.432
2025-07-02,S3,P45,3,33.51,0.09,91.48230000000001
2025-07-02,S3,P98,8,23.93,0.07,178.0392
2025-07-02,S3,P6,8,32.5,0.16,218.4
2025-07-02,S4,P59,9,15.36,0.06,129.9456
2025-07-02,S4,P181,4,25.89,0.19,83.8836
2025-07-02,S4,P7,5,35.59,0.22,138.80100000000002
2025-07-02,S4,P31,7,3.19,0.2,17.864
2025-07-02,S4,P181,7,8.95,0.2,50.12
2025-07-02,S5,P194,1,23.71,0.03,22.9987
2025-07-02,S5,P98,8,33.29,0.03,258.3304
2025-07-02,S5,P158,7,23.03,0.24,122.51960000000001
2025-07-02,S5,P63,5,6.79,0.23,26.141500000000004
2025-07-02,S5,P96,4,5.51,0.08,20.2768
2025-07-02,S5,P17,6,29.22,0.12,154.2816
2025-07-02,S5,P22,8,4.69,0.22,29.265600000000003
2025-07-02,S5,P192,4,26.96,0.15,91.664
2025-07-02,S5,P7,1,14.97,0.12,13.1736
2025-07-02,S5,P179,7,19.5,0.07,126.945
2025-07-02,S5,P29,4,18.77,0.11,66.8212
2025-07-02,S6,P15,7,33.56,0.07,218.47560000000001
2025-07-02,S6,P32,2,31.59,0.06,59.389199999999995
2025-07-02,S6,P27,3,38.18,0.04,109.95839999999998
2025-07-02,S6,P92,5,36.65,0.21,144.7675
2025-07-02,S6,P84,6,31.12,0.11,166.1808
2025-07-02,S6,P1,6,11.51,0.05,65.607
2025-07-02,S6,P64,1,27.11,0.09,24.6701
2025-07-02,S6,P15,8,8.89,0.05,67.56400000000001
2025-07-02,S6,P93,5,8.69,0.11,38.6705
2025-07-02,S6,P50,4,3.66,0.2,11.712000000000002
2025-07-02,S6,P172,5,36.74,0.24,139.61200000000002
2025-07-02,S7,P46,9,3.05,0.15,23.3325
2025-07-02,S7,P126,4,18.92,0.05,71.896
2025-07-02,S7,P188,6,24.53,0.07,136.8774
2025-07-02,S7,P88,8,14.48,0.11,103.0976
2025-07-02,S7,P72,5,5.68,0.1,25.56
2025-07-02,S7,P110,6,13.79,0.17,68.6742
2025-07-02,S7,P33,6,36.59,0.18,180.02280000000002
2025-07-02,S7,P179,8,8.4,0.03,65.184
2025-07-02,S8,P86,4,15.8,0.19,51.19200000000001
2025-07-02,S8,P97,2,22.77,0.22,35.5212
2025-07-02,S8,P158,1,33.51,0.09,30.4941
2025-07-02,S8,P103,2,39.17,0.05,74.423
2025-07-02,S8,P122,2,33.39,0.01,66.1122
2025-07-02,S8,P172,1,38.21,0.03,37.0637
2025-07-02,S8,P123,6,25.01,0.15,127.551
2025-07-02,S8,P160,9,29.24,0.22,205.26479999999998
2025-07-02,S8,P178,4,15.56,0.2,49.792
2025-07-02,S8,P7,4,23.46,0.15,79.764
2025-07-02,S9,P154,3,4.51,0.04,12.9888
2025-07-02,S9,P14,2,5.23,0.06,9.8324
2025-07-02,S9,P141,9,35.26,0.05,301.47299999999996
2025-07-02,S9,P55,4,30.54,0.22,95.2848
2025-07-02,S9,P53,7,4.62,0.04,31.046400000000002
2025-07-02,S9,P198,2,27.17,0.08,49.9928
2025-07-02,S9,P56,9,21.25,0.02,187.42499999999998
2025-07-02,S9,P35,6,4.13,0.06,23.2932
2025-07-02,S9,P76,1,35.13,0.18,28.806600000000003
2025-07-02,S9,P189,8,18.74,0.09,136.4272
2025-07-02,S10,P188,8,23.1,0.13,160.776
2025-07-02,S10,P105,4,4.09,0.1,14.724
2025-07-02,S10,P66,2,32.34,0.16,54.3312
2025-07-02,S10,P115,6,16.29,0.1,87.966
2025-07-02,S10,P18,8,33.93,0.06,255.15359999999998
2025-07-02,S10,P26,8,18.0,0.15,122.39999999999999
2025-07-02,S10,P42,2,9.7,0.21,15.325999999999999
2025-07-02,S10,P41,6,35.22,0.11,188.0748
2025-07-03,S1,P84,2,6.52,0.16,10.953599999999998
2025-07-03,S1,P89,9,17.76,0.21,126.2736
2025-07-03,S1,P5,1,31.62,0.03,30.6714
2025-07-03,S1,P45,7,19.79,0.06,130.2182
2025-07-03,S1,P195,6,9.28,0.13,48.441599999999994
2025-07-03,S1,P10,9,18.94,0.06,160.2324
2025-07-03,S1,P171,1,12.34,0.09,11.2294
2025-07-03,S1,P28,9,25.4,0.09,208.026
2025-07-03,S1,P165,1,34.23,0.2,27.384
2025-07-03,S1,P156,6,10.62,0.03,61.8084
2025-07-03,S1,P114,2,7.55,0.06,14.193999999999999
2025-07-03,S1,P26,1,7.52,0.11,6.6928
2025-07-03,S2,P59,5,6.82,0.15,28.985
2025-07-03,S2,P12,4,39.51,0.24,120.1104
2025-07-03,S2,P43,2,14.96,0.24,22.7392
2025-07-03,S2,P39,8,22.08,0.12,155.4432
2025-07-03,S2,P172,6,8.17,0.01,48.529799999999994
2025-07-03,S2,P45,4,29.07,0.05,110.466
2025-07-03,S2,P119,8,38.89,0.02,304.8976
2025-07-03,S2,P8,6,35.12,0.04,202.29119999999998
2025-07-03,S2,P34,1,34.01,0.24,25.8476
2025-07-03,S3,P158,2,12.03,0.21,19.0074
2025-07-03,S3,P47,8,31.44,0.03,243.9744
2025-07-03,S3,P89,4,28.03,0.05,106.514
2025-07-03,S3,P142,5,27.68,0.14,119.024
2025-07-03,S3,P190,2,39.98,0.01,79.1604
2025-07-03,S3,P73,1,18.06,0.22,14.0868
2025-07-03,S3,P73,5,23.98,0.18,98.31800000000001
2025-07-03,S3,P68,2,17.95,0.08,33.028
2025-07-03,S3,P102,3,32.89,0.19,79.9227
2025-07-03,S3,P23,3,35.15,0.09,95.95949999999999
2025-07-03,S3,P54,7,3.21,0.08,20.6724
2025-07-03,S3,P76,7,23.85,0.1,150.25500000000002
2025-07-03,S3,P93,9,25.07,0.14,194.0418
2025-07-03,S3,P35,6,5.71,0.15,29.121
2025-07-03,S4,P194,9,17.05,0.22,119.69100000000002
2025-07-03,S4,P48,2,20.73,0.01,41.0454
2025-07-03,S4,P154,9,17.07,0.1,138.267
2025-07-03,S4,P37,4,25.49,0.19,82.5876
2025-07-03,S4,P70,2,29.47,0.13,51.2778
2025-07-03,S4,P21,7,18.94,0.22,103.41240000000002
2025-07-03,S4,P117,9,27.22,0.1,220.482
2025-07-03,S4,P68,5,20.73,0.05,98.4675
2025-07-03,S4,P78,4,12.5,0.07,46.5
2025-07-03,S4,P27,3,24.49,0.02,72.00059999999999
2025-07-03,S4,P158,2,17.8,0.24,27.056
2025-07-03,S4,P90,9,22.33,0.03,194.94089999999997
2025-07-03,S4,P108,7,22.43,0.18,128.7482
2025-07-03,S4,P56,1,23.99,0.06,22.550599999999996
2025-07-03,S5,P84,4,6.22,0.2,19.904
2025-07-03,S5,P172,8,22.48,0.03,174.4448
2025-07-03,S5,P141,7,26.61,0.13,162.05489999999998
2025-07-03,S5,P137,9,26.92,0.04,232.58880000000002
2025-07-03,S5,P121,8,31.49,0.14,216.6512
2025-07-03,S5,P91,5,14.18,0.18,58.13800000000001
2025-07-03,S5,P100,7,27.7,0.02,190.022
2025-07-03,S5,P164,1,18.69,0.04,17.9424
2025-07-03,S6,P108,2,20.5,0.13,35.67
2025-07-03,S6,P150,5,26.75,0.15,113.6875
2025-07-03,S6,P160,9,17.46,0.15,133.56900000000002
2025-07-03,S6,P153,2,13.16,0.15,22.372
2025-07-03,S6,P146,3,19.38,0.11,51.7446
2025-07-03,S7,P24,3,25.32,0.08,69.88320000000002
2025-07-03,S7,P32,7,31.59,0.07,205.65089999999998
2025-07-03,S7,P97,4,10.1,0.08,37.168
2025-07-03,S7,P123,6,16.13,0.02,94.8444
2025-07-03,S7,P49,2,27.78,0.02,54.4488
2025-07-03,S7,P160,5,13.03,0.15,55.37749999999999
2025-07-03,S7,P67,6,11.54,0.11,61.623599999999996
2025-07-03,S7,P86,6,4.94,0.09,26.9724
2025-07-03,S7,P102,1,39.83,0.11,35.4487
2025-07-03,S7,P116,8,24.48,0.02,191.9232
2025-07-03,S7,P197,9,9.31,0.1,75.411
2025-07-03,S7,P158,9,33.41,0.0,300.68999999999994
2025-07-03,S7,P144,8,32.43,0.23,199.7688
2025-07-03,S8,P92,3,8.64,0.25,19.44
2025-07-03,S8,P104,8,22.98,0.21,145.2336
2025-07-03,S8,P149,4,26.07,0.02,102.1944
2025-07-03,S8,P32,1,25.51,0.13,22.1937
2025-07-03,S8,P142,4,14.22,0.07,52.8984
2025-07-03,S8,P66,9,6.24,0.23,43.2432
2025-07-03,S8,P193,3,17.69,0.11,47.23230000000001
2025-07-03,S8,P196,2,22.08,0.23,34.0032
2025-07-03,S8,P171,6,23.96,0.1,129.384
2025-07-03,S8,P12,1,7.31,0.2,5.848
2025-07-03,S8,P35,8,22.7,0.18,148.912
2025-07-03,S9,P80,7,14.27,0.02,97.8922
2025-07-03,S9,P149,3,9.42,0.17,23.455799999999996
2025-07-03,S9,P20,2,26.72,0.21,42.2176
2025-07-03,S9,P25,6,14.61,0.15,74.511
2025-07-03,S9,P65,6,33.69,0.08,185.9688
2025-07-03,S9,P169,6,8.42,0.09,45.9732
2025-07-03,S9,P136,5,3.96,0.03,19.206
2025-07-03,S10,P173,4,19.26,0.03,74.7288
2025-07-03,S10,P134,2,27.06,0.04,51.9552
2025-07-03,S10,P5,3,10.1,0.05,28.784999999999997
2025-07-03,S10,P126,2,5.14,0.17,8.532399999999999
2025-07-03,S10,P83,9,8.26,0.03,72.1098
2025-07-03,S10,P190,3,9.58,0.17,23.8542
2025-07-03,S10,P97,4,26.43,0.06,99.37679999999999
2025-07-03,S10,P101,7,11.17,0.04,75.0624
2025-07-04,S1,P124,6,18.77,0.03,109.2414
2025-07-04,S1,P116,3,16.61,0.1,44.847
2025-07-04,S1,P14,7,30.14,0.19,170.89380000000003
2025-07-04,S1,P183,2,7.95,0.1,14.31
2025-07-04,S1,P79,5,31.13,0.03,150.9805
2025-07-04,S1,P167,5,10.96,0.0,54.800000000000004
2025-07-04,S1,P181,2,5.39,0.01,10.6722
2025-07-04,S1,P188,5,34.24,0.02,167.776
2025-07-04,S2,P196,2,15.01,0.18,24.616400000000002
2025-07-04,S2,P180,6,17.52,0.24,79.8912
2025-07-04,S2,P113,9,6.78,0.16,51.2568
2025-07-04,S2,P169,1,32.93,0.02,32.2714
2025-07-04,S2,P97,2,4.42,0.23,6.8068
2025-07-04,S2,P21,7,27.4,0.22,149.60399999999998
2025-07-04,S2,P200,1,25.72,0.02,25.205599999999997
2025-07-04,S2,P88,3,6.91,0.25,15.5475
2025-07-04,S2,P87,5,4.77,0.01,23.611499999999996
2025-07-04,S2,P87,1,5.67,0.02,5.5565999999999995
2025-07-04,S2,P152,1,38.39,0.18,31.479800000000004
2025-07-04,S2,P58,4,15.94,0.19,51.6456
2025-07-04,S2,P135,3,9.85,0.04,28.367999999999995
2025-07-04,S2,P5,5,27.43,0.19,111.09150000000001
2025-07-04,S3,P38,1,13.93,0.19,11.2833
2025-07-04,S3,P153,9,17.13,0.05,146.46149999999997
2025-07-04,S3,P49,4,25.76,0.19,83.46240000000002
2025-07-04,S3,P169,9,22.62,0.01,201.54420000000002
2025-07-04,S3,P114,5,7.63,0.12,33.571999999999996
2025-07-04,S3,P2,6,20.98,0.23,96.9276
2025-07-04,S3,P144,2,7.74,0.08,14.241600000000002
2025-07-04,S3,P168,2,11.31,0.09,20.584200000000003
2025-07-04,S3,P59,9,9.06,0.07,75.8322
2025-07-04,S3,P172,3,35.82,0.16,90.2664
2025-07-04,S3,P122,7,35.53,0.06,233.7874
2025-07-04,S3,P175,2,26.53,0.06,49.8764
2025-07-04,S3,P126,8,30.68,0.14,211.0784
2025-07-04,S3,P151,6,30.87,0.07,172.25459999999998
2025-07-04,S4,P2,5,29.86,0.2,119.44000000000001
2025-07-04,S4,P95,3,8.58,0.09,23.4234
2025-07-04,S4,P22,5,24.84,0.13,108.054
2025-07-04,S4,P191,6,23.91,0.17,119.0718
2025-07-04,S4,P39,9,31.16,0.04,269.2224
2025-07-04,S4,P106,8,12.13,0.18,79.57280000000002
2025-07-04,S5,P132,8,10.18,0.22,63.5232
2025-07-04,S5,P98,9,23.54,0.18,173.7252
2025-07-04,S5,P155,2,16.15,0.2,25.84
2025-07-04,S5,P164,6,34.38,0.21,162.96120000000002
2025-07-04,S5,P12,1,3.41,0.19,2.7621
2025-07-04,S6,P121,4,15.1,0.04,57.983999999999995
2025-07-04,S6,P70,8,21.58,0.03,167.46079999999998
2025-07-04,S6,P111,4,29.72,0.22,92.7264
2025-07-04,S6,P154,5,27.53,0.0,137.65
2025-07-04,S6,P103,5,4.08,0.04,19.584
2025-07-04,S6,P188,9,17.34,0.1,140.454
2025-07-04,S6,P71,4,21.87,0.18,71.73360000000001
2025-07-04,S6,P80,7,29.01,0.01,201.03930000000003
2025-07-04,S6,P24,2,25.18,0.15,42.806
2025-07-04,S7,P49,3,5.17,0.08,14.2692
2025-07-04,S7,P30,6,10.76,0.21,51.0024
2025-07-04,S7,P19,4,7.53,0.18,24.698400000000003
2025-07-04,S7,P146,4,5.31,0.2,16.992
2025-07-04,S7,P47,9,37.53,0.16,283.72679999999997
2025-07-04,S7,P145,6,26.54,0.2,127.39200000000001
2025-07-04,S7,P143,6,39.67,0.19,192.79620000000003
2025-07-04,S8,P137,5,9.83,0.09,44.7265
2025-07-04,S8,P50,3,3.97,0.01,11.7909
2025-07-04,S8,P118,6,22.17,0.07,123.7086
2025-07-04,S8,P147,3,18.9,0.22,44.226
2025-07-04,S8,P93,5,20.79,0.11,92.51549999999999
2025-07-04,S8,P192,5,29.12,0.16,122.30399999999999
2025-07-04,S8,P126,7,36.44,0.23,196.4116
2025-07-04,S8,P24,9,3.26,0.01,29.046599999999994
2025-07-04,S8,P174,9,30.8,0.16,232.84799999999998
2025-07-04,S8,P36,5,5.55,0.01,27.4725
2025-07-04,S8,P158,6,12.68,0.06,71.5152
2025-07-04,S9,P138,6,18.87,0.21,89.44380000000001
2025-07-04,S9,P70,9,21.04,0.01,187.4664
2025-07-04,S9,P84,2,36.54,0.03,70.88759999999999
2025-07-04,S9,P196,2,18.21,0.09,33.1422
2025-07-04,S9,P127,2,30.1,0.14,51.772
2025-07-04,S9,P143,7,17.56,0.21,97.10679999999999
2025-07-04,S9,P120,9,21.3,0.24,145.692
2025-07-04,S9,P69,3,29.83,0.05,85.01549999999999
2025-07-04,S9,P49,3,14.42,0.24,32.8776
2025-07-04,S9,P140,9,9.77,0.01,87.05069999999999
2025-07-04,S9,P117,4,18.47,0.02,72.4024
2025-07-04,S9,P86,7,23.17,0.25,121.6425
2025-07-04,S10,P28,9,32.29,0.14,249.9246
2025-07-04,S10,P98,6,11.37,0.21,53.8938
2025-07-04,S10,P74,5,8.22,0.17,34.113
2025-07-04,S10,P57,2,6.61,0.22,10.3116
2025-07-04,S10,P179,7,23.18,0.02,159.01479999999998
2025-07-04,S10,P168,6,32.84,0.11,175.36560000000003
2025-07-05,S1,P63,1,10.45,0.06,9.822999999999999
2025-07-05,S1,P20,4,31.0,0.13,107.88
2025-07-05,S1,P120,8,35.48,0.22,221.3952
2025-07-05,S1,P92,9,23.73,0.19,172.9917
2025-07-05,S1,P113,2,5.41,0.12,9.521600000000001
2025-07-05,S1,P200,1,17.46,0.2,13.968000000000002
2025-07-05,S1,P167,4,19.71,0.1,70.956
2025-07-05,S2,P197,3,10.24,0.05,29.183999999999997
2025-07-05,S2,P8,8,16.2,0.19,104.976
2025-07-05,S2,P85,8,32.52,0.1,234.14400000000003
2025-07-05,S2,P176,8,22.25,0.11,158.42000000000002
2025-07-05,S2,P198,2,14.72,0.21,23.257600000000004
2025-07-05,S2,P3,2,9.25,0.13,16.095
2025-07-05,S2,P129,7,9.82,0.22,53.61720000000001
2025-07-05,S3,P4,6,38.81,0.21,183.95940000000002
2025-07-05,S3,P137,7,38.78,0.1,244.31400000000005
2025-07-05,S3,P119,5,27.71,0.16,116.382
2025-07-05,S3,P4,6,39.25,0.16,197.82
2025-07-05,S3,P128,5,23.71,0.13,103.13850000000001
2025-07-05,S3,P25,4,35.94,0.02,140.88479999999998
2025-07-05,S3,P133,3,9.93,0.21,23.5341
2025-07-05,S3,P116,6,23.01,0.18,113.20920000000001
2025-07-05,S3,P172,9,20.43,0.21,145.25730000000001
2025-07-05,S4,P131,5,7.18,0.02,35.181999999999995
2025-07-05,S4,P161,5,18.54,0.23,71.37899999999999
2025-07-05,S4,P51,2,30.71,0.16,51.5928
2025-07-05,S4,P176,6,30.31,0.2,145.488
2025-07-05,S4,P94,3,4.15,0.18,10.209000000000001
2025-07-05,S4,P162,2,14.65,0.0,29.3
2025-07-05,S4,P47,7,9.18,0.16,53.97839999999999
2025-07-05,S4,P1,8,5.69,0.02,44.6096
2025-07-05,S4,P67,4,35.06,0.05,133.228
2025-07-05,S4,P143,5,4.23,0.08,19.458000000000002
2025-07-05,S4,P46,4,37.72,0.22,117.6864
2025-07-05,S4,P39,9,32.17,0.17,240.3099
2025-07-05,S4,P115,1,35.35,0.0,35.35
2025-07-05,S5,P120,6,11.39,0.1,61.50600000000001
2025-07-05,S5,P190,3,18.27,0.2,43.848000000000006
2025-07-05,S5,P84,1,4.55,0.18,3.7310000000000003
2025-07-05,S5,P154,6,13.36,0.21,63.3264
2025-07-05,S5,P83,3,33.56,0.17,83.5644
2025-07-05,S5,P28,4,39.33,0.16,132.1488
2025-07-05,S6,P124,7,22.71,0.16,133.5348
2025-07-05,S6,P142,8,29.04,0.14,199.7952
2025-07-05,S6,P168,1,11.95,0.0,11.95
2025-07-05,S6,P120,4,14.15,0.15,48.11
2025-07-05,S6,P187,9,4.78,0.23,33.125400000000006
2025-07-05,S6,P8,2,27.71,0.15,47.107
2025-07-05,S6,P169,8,9.86,0.02,77.30239999999999
2025-07-05,S6,P62,1,13.56,0.11,12.0684
2025-07-05,S6,P11,2,24.21,0.16,40.6728
2025-07-05,S6,P48,4,11.15,0.12,39.248000000000005
2025-07-05,S6,P189,9,27.76,0.21,197.3736
2025-07-05,S6,P65,8,22.15,0.11,157.708
2025-07-05,S6,P76,6,19.08,0.19,92.72879999999999
2025-07-05,S7,P147,4,19.41,0.15,65.994
2025-07-05,S7,P51,6,24.89,0.18,122.45880000000001
2025-07-05,S7,P132,7,21.96,0.03,149.1084
2025-07-05,S7,P150,3,27.13,0.24,61.8564
2025-07-05,S7,P162,7,39.4,0.07,256.49399999999997
2025-07-05,S7,P166,6,35.98,0.0,215.88
2025-07-05,S7,P61,6,4.69,0.04,27.0144
2025-07-05,S7,P124,1,19.67,0.12,17.309600000000003
2025-07-05,S7,P99,8,20.38,0.11,145.10559999999998
2025-07-05,S7,P84,8,24.86,0.13,173.0256
2025-07-05,S7,P49,1,11.11,0.01,10.998899999999999
2025-07-05,S7,P124,1,15.54,0.2,12.432
2025-07-05,S7,P177,6,37.47,0.1,202.338
2025-07-05,S8,P49,9,33.27,0.13,260.5041
2025-07-05,S8,P59,7,24.27,0.01,168.19109999999998
2025-07-05,S8,P192,3,19.67,0.23,45.43770000000001
2025-07-05,S8,P45,1,17.43,0.18,14.2926
2025-07-05,S8,P72,8,27.82,0.06,209.2064
2025-07-05,S8,P189,1,33.48,0.24,25.444799999999997
2025-07-05,S8,P197,8,34.93,0.0,279.44
2025-07-05,S8,P158,7,4.5,0.22,24.57
2025-07-05,S8,P146,2,27.62,0.2,44.19200000000001
2025-07-05,S9,P82,5,7.48,0.1,33.660000000000004
2025-07-05,S9,P84,1,5.63,0.02,5.517399999999999
